Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein,MaFI
anime,1.3408482142857145,0.25,2.3333333333333335,0.4666666666666666,4.166666666666667,-1.3408482142857145
annexation,1.138125,0.0,5.0,0.5,7.1,-1.138125
anode,1.2972916666666667,0.0,1.5,0.3,3.9,-1.2972916666666667
anorak,1.2650974025974024,0.18181818181818182,3.3636363636363638,0.5606060606060607,4.363636363636363,-1.2650974025974024
answer,1.403720238095238,0.1,1.9,0.38,4.3,-1.403720238095238
anxiously,1.226736111111111,0.2,3.9,0.4875,4.9,-1.226736111111111
anyone,1.0767857142857142,0.3,3.3,0.55,3.5,-1.0767857142857142
anything,0.24151785714285712,0.8,5.4,0.9,1.1,-0.24151785714285712
anytime,1.1988636363636365,0.2727272727272727,2.8181818181818183,0.40259740259740256,4.7272727272727275,-1.1988636363636365
anyway,0.7286458333333334,0.6,4.1,0.6833333333333333,2.2,-0.7286458333333334
anywhere,0.571875,0.5,4.5,0.75,1.8,-0.571875
apparel,1.0276537698412698,0.0,3.1666666666666665,0.5277777777777778,3.8333333333333335,-1.0276537698412698
apparently,0.5157828282828283,0.6363636363636364,7.363636363636363,0.8181818181818182,2.5454545454545454,-0.5157828282828283
appear,1.0502232142857142,0.2,2.1,0.525,3.4,-1.0502232142857142
apply,0.5706249999999999,0.5,4.0,0.8,2.0,-0.5706249999999999
approach,0.2748511904761905,0.7,7.0,0.875,1.2,-0.2748511904761905
approximately,1.4158854166666666,0.0,5.45,0.4541666666666667,9.4,-1.4158854166666666
arab,1.0545684523809524,0.1,2.0,0.5,4.5,-1.0545684523809524
area,1.070684523809524,0.3,2.3,0.575,3.9,-1.070684523809524
aroma,1.122113095238095,0.1,3.6,0.6,3.8,-1.122113095238095
arrange,0.7825,0.3,5.6,0.7,2.9,-0.7825
arrive,0.4859375,0.7,4.0,0.8,1.2,-0.4859375
arse,1.2230208333333334,0.2,1.3,0.4333333333333333,2.7,-1.2230208333333334
as,1.0231249999999998,0.0,0.6,0.3,2.7,-1.0231249999999998
ashe,0.9105357142857144,0.0,1.6,0.8,2.9,-0.9105357142857144
ask,1.5994791666666668,0.1,0.7,0.2333333333333333,3.4,-1.5994791666666668
asleep,0.8760416666666666,0.2,3.6,0.72,2.6,-0.8760416666666666
assure,1.575,0.0,0.6,0.15,3.6,-1.575
attaching,1.3040550595238092,0.08333333333333333,3.25,0.40625,6.333333333333333,-1.3040550595238092
attic,1.1344642857142857,0.2,1.8,0.45,3.7,-1.1344642857142857
authorship,1.1907873376623377,0.18181818181818182,3.8181818181818183,0.5454545454545454,5.181818181818182,-1.1907873376623377
avenue,1.3085714285714287,0.1,2.1,0.42000000000000004,4.9,-1.3085714285714287
away,0.7380208333333333,0.3,2.9,0.725,2.0,-0.7380208333333333
awkwardly,1.5098214285714286,0.0,2.3,0.2875,6.2,-1.5098214285714286
baby,0.20282738095238098,0.8,4.6,0.9199999999999999,0.8,-0.20282738095238098
back,0.8064583333333333,0.1,1.7,0.5666666666666667,1.9,-0.8064583333333333
backfire,1.3332514880952382,0.1,2.8,0.39999999999999997,5.9,-1.3332514880952382
